Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CDNS,"Cadence Design Sys",67.72,-0.38,-0.56%,68,68,67.08,1892311,"16:07 ET"
CDW,"CDW Corp",104.24,-1.87,-1.76%,105.94,106.4,104.18,426378,"16:01 ET"
CECO,"Career Education",19.58,-0.1,-0.51%,19.63,19.71,19.49,314639,"16:11 ET"
CELG,"Celgene Corp",96.51,0.07,+0.07%,96.34,97.15,96.2,3129326,"16:07 ET"
CENTA,"Central Garden & Pet",25.4,-0.21,-0.82%,25.63,25.78,25.31,144130,"16:10 ET"
CERN,"Cerner Corp",72.23,-0.25,-0.34%,72.54,72.95,72.2,1669204,"16:11 ET"
CEVA,"Ceva Inc",24.12,-0.4,-1.63%,24.25,24.35,23.75,96669,"16:01 ET"
CFFN,"Capitol Fed Finl Inc",13.51,-0.06,-0.44%,13.55,13.64,13.5,161487,"16:01 ET"
CG,"The Carlyle Group",21.78,-0.09,-0.41%,21.79,22,21.71,316994,"16:01 ET"
CGNX,"Cognex Cp",43.69,-1.28,-2.85%,44.86,44.86,43.43,882148,"16:07 ET"
CHCO,"City Holding CO",74.77,-0.2,-0.27%,74.87,75.23,74.18,44329,"16:11 ET"
CHDN,"Churchill Downs IN",114.51,0.49,+0.43%,113.83,115.17,113.55,143663,"16:11 ET"
CHFC,"Chemical Financial",39.4,0.26,+0.66%,39.25,39.6,38.51,622258,"16:01 ET"
CHKP,"Check Point Software",113.32,0.32,+0.28%,112.46,113.81,112.35,693396,"16:10 ET"
CHRS,"Coherus Bio",18.65,0.4,+2.19%,18.11,18.78,18.11,679601,"16:10 ET"
CHRW,"C.H. Robinson Ww",83.7,0.13,+0.16%,83.65,83.81,82.69,1364514,"16:10 ET"
CHTR,"Charter Communicatio",392.08,2.36,+0.61%,390.32,393.2,386.66,689818,"16:01 ET"
CINF,"Cincinnati Financial",103.54,0.89,+0.87%,102.83,103.72,102.32,505315,"16:07 ET"
CLDX,"Celldex Therapeutics",2.48,-0.04,-1.59%,2.51,2.55,2.45,63761,"16:01 ET"
CLMT,"Calumet Specialty Pr",4.17,0.05,+1.21%,4.07,4.18,4.01,113268,"16:01 ET"
CLNE,"Clean Energy Fuels",2.62,0.06,+2.34%,2.57,2.65,2.56,794260,"16:19 ET"
CLXT,"Calyxt Inc",12.9,-0.1,-0.77%,12.99,13.31,12.7,48282,"16:01 ET"
CMCO,"Columbus Mckinnon",38.7,-0.34,-0.87%,39,39.19,38.35,125893,"16:10 ET"
CMCSA,"Comcast Corp A",42.31,0.62,+1.49%,41.97,42.49,41.69,19816313,"16:15 ET"
CMCT,"Cim Commercial TR Cp",20.85,0.05,+0.24%,20.8,20.9,20.55,9174,"16:01 ET"
CME,"CME Group Inc",197.1,0.36,+0.18%,197.35,197.81,195.66,1120622,"16:13 ET"
CMPR,"Cimpress N.V. Ord",101.02,0.76,+0.76%,99.66,102.24,99.66,162190,"16:01 ET"
CNMD,"C O N M E D Cp",82.42,-1.63,-1.94%,83.94,84.8,82.34,134557,"16:11 ET"
CNOB,"Connectone Bancorp",21.82,0.09,+0.41%,21.72,21.96,21.52,54403,"16:01 ET"
CNSL,"Consolidated Communications Holdings Inc",4.46,-0.02,-0.45%,4.49,4.54,4.36,880421,"16:11 ET"
CNXN,"PC Connection Inc",34.13,0.26,+0.77%,33.83,34.96,33.45,49747,"16:01 ET"
COHR,"Coherent Inc",119,-3.58,-2.92%,121.4,121.4,117.09,167421,"16:10 ET"
COKE,"Coca Cola Bot Cons",306.98,-7.15,-2.28%,314.9,318.12,303.58,57131,"16:01 ET"
COLB,"Columbia Banking Sys",35.29,0.12,+0.34%,35.23,35.47,34.75,150973,"16:01 ET"
COLM,"Columbia Sprtswr",98.72,1.58,+1.63%,96.86,98.85,96.44,191882,"16:10 ET"
COMM,"Commscope Holding CO",15.9,-0.5,-3.05%,15.8,16.11,15.34,5004190,"16:10 ET"
CONE,"Cyrusone Inc",58.91,0.23,+0.39%,58.36,59.03,58.01,911889,"16:11 ET"
CONN,"Conn's Inc",17.68,-0.26,-1.45%,17.82,18,17.3,407296,"16:10 ET"
COOP,"Mr.Cooper Group Inc",7.16,-0.21,-2.85%,7.35,7.47,7.15,494241,"16:10 ET"
CORE,"Core Mark Holding",37.93,-1.18,-3.02%,39.11,39.34,37.91,148147,"16:01 ET"
CORT,"Corcept Therapeutics",10.36,-0.05,-0.48%,10.4,10.44,10.3,372486,"16:11 ET"
COST,"Costco Wholesale",260.15,0.44,+0.17%,260,261.2,258.91,1270518,"16:10 ET"
COUP,"Coupa Software Inc",120.7,-0.6,-0.49%,121.23,123.97,119.38,798531,"16:17 ET"
CPLP,"Capital Product Part",10.49,0.1,+0.96%,10.43,10.51,10.34,119808,"16:01 ET"
CPRT,"Copart Inc",73.81,-0.96,-1.28%,74.78,74.95,73.71,1390314,"16:01 ET"
CRAY,"Cray Inc",34.68,-0.01,-0.03%,34.65,34.83,34.62,409262,"16:07 ET"
CREE,"Cree Inc",54.58,-3.37,-5.82%,56.93,56.93,54.5,1775602,"16:07 ET"
CRESY,"Cresud Sacif ADR",10.7,-0.02,-0.19%,10.69,10.74,10.6,79155,"16:01 ET"
CROX,"Crocs Inc",18.79,-0.3,-1.57%,18.4,19.17,18.4,1857681,"16:11 ET"
CRSP,"Crispr Therapeutics Ag",43.27,-0.99,-2.24%,44.31,44.34,42.86,349932,"16:07 ET"
CRTO,"Criteo S.A. Ads",18.58,0.12,+0.65%,18.39,18.61,18.17,482992,"16:18 ET"
CRUS,"Cirrus Logic Inc",39.86,-1.8,-4.32%,41.14,41.14,39.72,486896,"16:07 ET"
CRVL,"Corvel Cp",81.66,-0.77,-0.93%,82.79,83.38,81.27,81394,"16:11 ET"
CRVS,"Corvus Pharma Com",3.38,-0.26,-7.14%,3.59,3.63,3.28,124999,"16:01 ET"
CRZO,"Carrizo Oil & Gas",9.12,-0.43,-4.50%,9.56,9.65,9.07,3066970,"16:11 ET"
CSCO,"Cisco Systems Inc",54.75,-1.42,-2.53%,55.99,56.01,54.66,22183141,"16:19 ET"
CSFL,"Centerstate Bank Corp",22.68,-0.11,-0.48%,22.75,22.86,22.42,368142,"16:07 ET"
CSGP,"Costar Group Inc",549.66,-0.12,-0.02%,549.42,550.66,545.83,148904,"16:13 ET"
CSGS,"C S G Sys Intl",47.21,-0.09,-0.19%,47.31,47.73,47.01,110876,"16:01 ET"
CSII,"Cardiovascular Syst",39.85,-0.24,-0.60%,40,40.38,39.66,170834,"16:11 ET"
CSIQ,"Canadian Solar Inc",21.61,-0.13,-0.60%,21.53,21.85,21.25,467695,"16:07 ET"
CSOD,"Cornerstone Ondemand",53.19,0.24,+0.45%,52.74,53.65,52.62,301053,"16:10 ET"
CSTE,"Caesarstone Sdot-Yam",14.29,-0.13,-0.90%,14.38,14.55,14.26,85388,"16:01 ET"
CSX,"CSX Corp",77.17,-0.47,-0.61%,77.69,77.94,76.76,2790470,"16:17 ET"
CTAS,"Cintas Corp",236.37,0.41,+0.17%,236.14,237.45,235.15,333616,"16:11 ET"
CTBI,"Community TR Bancp",40.55,0.05,+0.12%,40.29,40.78,40.29,16154,"16:04 ET"
CTMX,"Cytomx Thera",10.4,0.17,+1.66%,10.19,10.54,10.04,299475,"16:01 ET"
CTRE,"Caretrust REIT Inc",24.36,0,0.00%,24.33,24.59,24.26,595185,"16:09 ET"
CTRL,"Control4 Corp",23.72,0,0.00%,23.76,23.76,23.7,296602,"16:07 ET"
CTRP,"Ctrip.com Intl Ltd",33.47,-1.07,-3.10%,34.17,34.3,33.25,4824427,"16:01 ET"
CTSH,"Cognizant Tech Sol",61.64,-0.7,-1.12%,62,62.22,61.02,5393005,"16:05 ET"
CTWS,"Conn Water Svcs IN",68.63,0.01,+0.01%,68.54,68.96,68.54,14291,"16:07 ET"
CTXS,"Citrix Systems Inc",96.79,0.04,+0.04%,96.37,97.04,96,1205791,"16:07 ET"
CVBF,"Cvb Financial Corp",21.24,-0.08,-0.38%,21.28,21.39,21.08,327792,"16:01 ET"
CVCO,"Cavco Inds Inc",155.9,0.38,+0.24%,154.65,156.57,152.65,78882,"16:11 ET"
CVET,"Covetrus Inc",25.01,-0.22,-0.87%,25.27,25.45,24.88,681254,"16:15 ET"
CVGW,"Calavo Growers Inc",96.91,0.22,+0.23%,96.28,97.63,96.2,84243,"16:01 ET"
CVLT,"Commvault Systems",47.68,-0.44,-0.91%,48.08,48.18,47.66,268549,"16:11 ET"
CWST,"Casella Waste Sys",39.34,0.61,+1.58%,38.55,39.49,38.55,167970,"16:01 ET"
CY,"Cypress Semiconductor",22.06,-0.09,-0.41%,22.1,22.15,22.03,11318159,"16:11 ET"
CYBR,"Cyberark Soft Ord",130.3,-1.31,-1.00%,132.51,133.19,129.91,445633,"16:01 ET"
CYCN,"Cyclerion Therapeutics Inc",9.78,0.18,+1.87%,9.8,10.2,9.35,245633,"16:01 ET"
CYOU,"Changyou.com Ltd",10.31,-0.3,-2.83%,10.61,10.72,10.17,445585,"16:07 ET"
CYTK,Cytokinetics,9.54,-0.4,-4.02%,9.84,10.04,9.52,283321,"16:07 ET"
CZR,"Caesars Entertainment Corp",9.82,0.01,+0.10%,9.81,9.87,9.72,6469872,"16:19 ET"
DBVT,"Dbv Technologies Ads",8.03,-0.33,-3.95%,8.29,8.29,7.99,305204,"16:01 ET"
DBX,"Dropbox Inc",23.46,-0.59,-2.45%,23.69,24,23.22,4484675,"16:19 ET"
DCPH,"Deciphera Pharmaceuticals Inc",21.44,-1.72,-7.43%,23.07,23.15,21.41,192302,"16:07 ET"
